A -- B -- C -- D -- E 
32 - 1 - 25 - 51 - 58
9 - 2 - 13 - 21 - 81
71 - 87 - 10 - 30 - 97
26 - 4 - 20 - 33 - 22
82 - 13 - 14 - 43 - 58
17 - 47 - 86 - 55 - 57
44 - 18 - 83 - 45 - 49
25 - 41 - 0 - 91 - 12
83 - 12 - 16 - 76 - 17
98 - 79 - 39 - 92 - 62
95 - 44 - 90 - 97 - 80
11 - 0 - 4 - 71 - 67
29 - 22 - 85 - 13 - 51
89 - 45 - 40 - 21 - 41
69 - 31 - 12 - 32 - 23
78 - 97 - 23 - 48 - 16
99 - 65 - 68 - 26 - 40
63 - 91 - 29 - 45 - 75
83 - 11 - 31 - 74 - 31
24 - 79 - 60 - 40 - 50
43 - 50 - 81 - 68 - 81
6 - 76 - 56 - 3 - 33
94 - 49 - 9 - 35 - 77
7 - 54 - 40 - 31 - 47
68 - 25 - 60 - 95 - 76
31 - 62 - 78 - 98 - 19
29 - 64 - 13 - 86 - 41
3 - 71 - 9 - 62 - 25
62 - 98 - 58 - 12 - 39
91 - 80 - 13 - 4 - 90
54 - 97 - 92 - 63 - 78
22 - 54 - 45 - 22 - 17
49 - 97 - 91 - 80 - 25
21 - 71 - 20 - 20 - 74
70 - 36 - 62 - 1 - 5
29 - 60 - 74 - 32 - 2
59 - 23 - 78 - 70 - 72
20 - 31 - 53 - 63 - 81
86 - 55 - 91 - 46 - 76
56 - 91 - 27 - 89 - 50
65 - 27 - 99 - 98 - 63
24 - 33 - 25 - 55 - 54
35 - 12 - 39 - 83 - 86
53 - 96 - 69 - 53 - 35
19 - 76 - 86 - 80 - 27
27 - 75 - 91 - 83 - 27
10 - 78 - 23 - 40 - 0
1 - 56 - 19 - 90 - 92
44 - 3 - 98 - 42 - 40
49 - 50 - 35 - 81 - 43
74 - 92 - 73 - 35 - 80
48 - 67 - 59 - 50 - 30
22 - 92 - 31 - 29 - 55
3 - 86 - 39 - 28 - 79
45 - 56 - 68 - 74 - 30
89 - 15 - 18 - 32 - 18
91 - 60 - 9 - 48 - 14
94 - 52 - 45 - 70 - 12
1 - 64 - 17 - 49 - 52
43 - 37 - 10 - 20 - 30
12 - 82 - 82 - 40 - 50
90 - 63 - 70 - 70 - 89
37 - 70 - 34 - 13 - 67
44 - 7 - 30 - 33 - 21
25 - 77 - 45 - 76 - 62
79 - 31 - 3 - 33 - 72
27 - 74 - 12 - 24 - 84
52 - 2 - 4 - 59 - 40
14 - 22 - 55 - 59 - 54
65 - 15 - 73 - 12 - 93
10 - 31 - 60 - 14 - 84
12 - 39 - 93 - 34 - 95
58 - 8 - 90 - 48 - 8
7 - 63 - 99 - 7 - 13
5 - 45 - 47 - 78 - 86
58 - 14 - 53 - 68 - 65
44 - 7 - 58 - 96 - 54
29 - 82 - 33 - 63 - 8
0 - 73 - 74 - 35 - 72
85 - 6 - 8 - 38 - 64
10 - 76 - 94 - 65 - 57
21 - 93 - 43 - 80 - 61
18 - 30 - 9 - 23 - 66
23 - 77 - 50 - 60 - 74
49 - 94 - 27 - 10 - 90
48 - 61 - 99 - 63 - 94
57 - 37 - 73 - 45 - 72
56 - 61 - 0 - 67 - 51
47 - 63 - 80 - 58 - 6
76 - 63 - 24 - 71 - 19
75 - 71 - 32 - 89 - 79
82 - 59 - 1 - 57 - 91
2 - 44 - 2 - 54 - 42
1 - 93 - 64 - 39 - 51
95 - 86 - 62 - 15 - 51
44 - 53 - 71 - 7 - 27
44 - 47 - 51 - 22 - 76
37 - 34 - 51 - 82 - 55
49 - 89 - 82 - 23 - 81
88 - 97 - 90 - 39 - 79
90 - 1 - 83 - 54 - 60
44 - 44 - 67 - 5 - 60
36 - 30 - 35 - 88 - 92
37 - 72 - 9 - 3 - 95
99 - 24 - 65 - 78 - 37
71 - 25 - 4 - 90 - 55
13 - 63 - 16 - 27 - 3
38 - 15 - 11 - 48 - 89
78 - 72 - 16 - 53 - 84
14 - 54 - 8 - 19 - 11
15 - 40 - 19 - 89 - 16
50 - 29 - 73 - 86 - 59
61 - 9 - 27 - 54 - 14
20 - 38 - 3 - 50 - 96
22 - 69 - 6 - 87 - 24
62 - 18 - 91 - 34 - 88
10 - 54 - 79 - 56 - 44
12 - 78 - 97 - 84 - 96
79 - 20 - 73 - 37 - 0
77 - 53 - 58 - 42 - 98
90 - 52 - 94 - 49 - 34
37 - 33 - 40 - 77 - 85
3 - 70 - 10 - 46 - 45
29 - 91 - 23 - 80 - 68
52 - 57 - 16 - 12 - 89
58 - 78 - 57 - 98 - 3
11 - 58 - 14 - 80 - 26
35 - 35 - 12 - 1 - 18
27 - 97 - 86 - 36 - 80
89 - 55 - 28 - 41 - 11
27 - 22 - 31 - 4 - 81
2 - 24 - 75 - 61 - 39
69 - 46 - 97 - 87 - 77
1 - 8 - 45 - 14 - 20
30 - 39 - 23 - 16 - 16
68 - 22 - 73 - 80 - 96
13 - 59 - 37 - 91 - 36
88 - 25 - 63 - 18 - 33
18 - 29 - 70 - 15 - 52
39 - 90 - 73 - 61 - 16
78 - 63 - 4 - 30 - 50
24 - 92 - 43 - 61 - 4
11 - 62 - 52 - 45 - 62
75 - 12 - 14 - 39 - 69
79 - 82 - 19 - 54 - 47
38 - 59 - 95 - 9 - 54
44 - 78 - 58 - 73 - 17
39 - 95 - 60 - 67 - 66
45 - 62 - 68 - 68 - 62
37 - 4 - 15 - 46 - 78
28 - 43 - 50 - 99 - 32
88 - 43 - 52 - 10 - 32
64 - 86 - 2 - 59 - 0
96 - 65 - 92 - 91 - 99
74 - 76 - 66 - 85 - 6
38 - 49 - 34 - 66 - 18
29 - 71 - 67 - 46 - 0
53 - 0 - 89 - 52 - 68
52 - 7 - 22 - 1 - 27
80 - 43 - 84 - 85 - 11
82 - 3 - 63 - 80 - 79
18 - 87 - 89 - 4 - 76
20 - 10 - 75 - 42 - 39
15 - 50 - 3 - 15 - 10
39 - 87 - 29 - 20 - 55
37 - 15 - 60 - 61 - 27
84 - 6 - 52 - 10 - 50
90 - 44 - 91 - 21 - 27
84 - 19 - 65 - 84 - 51
2 - 94 - 80 - 63 - 58
81 - 75 - 55 - 93 - 60
85 - 88 - 83 - 49 - 55
11 - 42 - 92 - 34 - 26
52 - 85 - 54 - 53 - 98
51 - 32 - 73 - 11 - 35
18 - 40 - 48 - 60 - 33
79 - 89 - 82 - 35 - 10
54 - 5 - 17 - 87 - 45
47 - 56 - 69 - 80 - 71
63 - 33 - 68 - 84 - 84
12 - 59 - 60 - 11 - 49
16 - 7 - 56 - 47 - 18
71 - 9 - 31 - 37 - 72
20 - 94 - 52 - 98 - 61
54 - 15 - 13 - 10 - 70
63 - 50 - 10 - 89 - 78
31 - 74 - 20 - 19 - 88
50 - 64 - 30 - 46 - 61
33 - 97 - 13 - 80 - 90
80 - 93 - 40 - 44 - 28
50 - 52 - 77 - 99 - 67
78 - 27 - 19 - 94 - 97
69 - 68 - 96 - 10 - 32
38 - 65 - 20 - 72 - 54
53 - 65 - 34 - 42 - 72
72 - 84 - 31 - 72 - 43
99 - 26 - 8 - 18 - 97
45 - 2 - 94 - 70 - 78
16 - 88 - 8 - 57 - 50
19 - 64 - 23 - 36 - 61
65 - 91 - 33 - 66 - 18
9 - 43 - 2 - 11 - 14
16 - 1 - 84 - 54 - 36
38 - 22 - 28 - 17 - 36
51 - 53 - 42 - 66 - 48
95 - 71 - 47 - 0 - 71
14 - 31 - 27 - 81 - 62
24 - 82 - 31 - 7 - 31
71 - 72 - 54 - 36 - 27
59 - 13 - 36 - 58 - 51
61 - 50 - 94 - 80 - 55
99 - 55 - 94 - 58 - 88
54 - 32 - 68 - 57 - 77
48 - 94 - 91 - 14 - 30
9 - 43 - 45 - 2 - 4
85 - 97 - 40 - 67 - 98
14 - 40 - 62 - 77 - 68
18 - 49 - 63 - 7 - 79
24 - 41 - 27 - 7 - 27
35 - 20 - 1 - 93 - 9
23 - 43 - 63 - 89 - 21
98 - 68 - 62 - 60 - 72
95 - 10 - 9 - 29 - 73
27 - 32 - 20 - 7 - 76
30 - 96 - 67 - 19 - 24
36 - 95 - 73 - 63 - 3
53 - 54 - 41 - 75 - 43
7 - 46 - 96 - 0 - 18
24 - 12 - 20 - 68 - 39
51 - 22 - 93 - 27 - 50
70 - 17 - 2 - 84 - 50
38 - 84 - 7 - 27 - 38
21 - 3 - 2 - 50 - 44
29 - 2 - 39 - 85 - 72
34 - 39 - 33 - 12 - 82
44 - 80 - 84 - 58 - 84
52 - 78 - 49 - 22 - 2
84 - 64 - 53 - 29 - 48
33 - 74 - 1 - 85 - 83
16 - 18 - 67 - 60 - 50
58 - 4 - 7 - 29 - 59
67 - 14 - 79 - 97 - 37
97 - 53 - 10 - 3 - 60
92 - 35 - 22 - 43 - 22
28 - 32 - 34 - 47 - 67
25 - 2 - 92 - 79 - 31
12 - 78 - 21 - 1 - 57
55 - 23 - 48 - 2 - 21
37 - 75 - 67 - 49 - 94
71 - 88 - 30 - 11 - 12
82 - 76 - 24 - 60 - 90
77 - 39 - 42 - 41 - 25
91 - 11 - 1 - 45 - 83
62 - 78 - 68 - 11 - 48
55 - 43 - 49 - 6 - 18
7 - 38 - 89 - 14 - 18
49 - 34 - 48 - 14 - 70
77 - 68 - 52 - 70 - 84
51 - 6 - 40 - 45 - 68
34 - 55 - 28 - 16 - 93
96 - 57 - 35 - 51 - 16
90 - 28 - 33 - 77 - 76
59 - 52 - 74 - 70 - 52
21 - 82 - 87 - 88 - 46
62 - 21 - 52 - 95 - 72
84 - 41 - 55 - 42 - 18
45 - 7 - 86 - 11 - 84
41 - 79 - 45 - 59 - 83
93 - 15 - 10 - 71 - 79
53 - 26 - 30 - 38 - 27
10 - 1 - 23 - 21 - 5
72 - 2 - 65 - 12 - 35
69 - 53 - 34 - 99 - 73
70 - 34 - 78 - 67 - 86
11 - 54 - 4 - 42 - 7
21 - 31 - 83 - 57 - 62
0 - 9 - 44 - 21 - 43
11 - 41 - 90 - 79 - 71
78 - 23 - 51 - 91 - 86
77 - 12 - 16 - 5 - 36
97 - 36 - 86 - 73 - 51
92 - 36 - 74 - 67 - 15
81 - 19 - 49 - 89 - 14
36 - 14 - 58 - 28 - 68
30 - 71 - 80 - 26 - 59
75 - 64 - 44 - 53 - 43
48 - 10 - 80 - 8 - 54
62 - 94 - 97 - 87 - 49
73 - 68 - 16 - 11 - 50
3 - 29 - 18 - 2 - 89
97 - 54 - 64 - 26 - 77
52 - 93 - 64 - 30 - 62
67 - 84 - 50 - 53 - 92
67 - 94 - 74 - 63 - 79
92 - 6 - 82 - 8 - 85
15 - 4 - 73 - 20 - 88
26 - 94 - 69 - 69 - 78
82 - 57 - 24 - 35 - 99
75 - 56 - 48 - 87 - 55
67 - 64 - 42 - 55 - 2
30 - 77 - 75 - 4 - 52
35 - 7 - 57 - 33 - 34
46 - 99 - 31 - 29 - 37
87 - 42 - 52 - 54 - 74
34 - 71 - 87 - 17 - 63
91 - 15 - 86 - 2 - 73
81 - 65 - 48 - 31 - 32
4 - 19 - 89 - 88 - 31
15 - 37 - 13 - 39 - 67
14 - 81 - 25 - 79 - 27
84 - 51 - 45 - 8 - 0
91 - 80 - 53 - 50 - 76
93 - 48 - 67 - 23 - 91
31 - 11 - 11 - 48 - 35
3 - 83 - 29 - 54 - 67
39 - 8 - 61 - 66 - 60
58 - 62 - 34 - 60 - 39
25 - 40 - 91 - 5 - 37
17 - 25 - 73 - 57 - 83
54 - 8 - 2 - 50 - 92
42 - 31 - 99 - 77 - 22
43 - 25 - 94 - 61 - 80
56 - 31 - 58 - 53 - 33
32 - 48 - 16 - 56 - 24
3 - 67 - 75 - 73 - 28
61 - 39 - 94 - 0 - 34
92 - 19 - 59 - 41 - 79
5 - 52 - 83 - 45 - 26
20 - 50 - 62 - 53 - 90
2 - 11 - 85 - 13 - 92
81 - 94 - 96 - 97 - 72
73 - 0 - 53 - 9 - 22
69 - 10 - 79 - 26 - 75
11 - 58 - 78 - 10 - 75
26 - 98 - 1 - 64 - 83
11 - 21 - 36 - 1 - 27
50 - 44 - 77 - 0 - 7
22 - 80 - 85 - 99 - 28
84 - 3 - 25 - 10 - 44
9 - 90 - 36 - 22 - 97
2 - 18 - 45 - 41 - 70
51 - 62 - 73 - 24 - 36
99 - 2 - 2 - 74 - 0
66 - 61 - 23 - 27 - 24
21 - 5 - 44 - 3 - 11
58 - 3 - 76 - 1 - 42
68 - 0 - 89 - 73 - 93
1 - 72 - 96 - 99 - 96
16 - 22 - 22 - 69 - 88
46 - 2 - 34 - 55 - 37
68 - 11 - 48 - 10 - 60
67 - 98 - 47 - 30 - 50
28 - 51 - 68 - 65 - 31
13 - 17 - 98 - 0 - 50
53 - 60 - 49 - 48 - 85
49 - 72 - 50 - 27 - 51
14 - 27 - 34 - 2 - 30
3 - 94 - 9 - 96 - 7
64 - 23 - 70 - 60 - 31
33 - 29 - 13 - 48 - 33
15 - 22 - 8 - 39 - 17
41 - 4 - 39 - 41 - 39
56 - 7 - 25 - 28 - 99
44 - 97 - 54 - 58 - 13
98 - 8 - 1 - 43 - 78
50 - 15 - 87 - 73 - 60
86 - 98 - 65 - 86 - 1
56 - 15 - 79 - 39 - 27
7 - 55 - 65 - 73 - 69
75 - 29 - 32 - 44 - 14
45 - 12 - 51 - 58 - 50
31 - 87 - 19 - 10 - 70
42 - 78 - 50 - 39 - 86
79 - 3 - 26 - 34 - 44
53 - 82 - 10 - 16 - 43
11 - 25 - 88 - 49 - 94
51 - 53 - 61 - 2 - 92
77 - 61 - 2 - 27 - 22
40 - 37 - 97 - 6 - 66
66 - 13 - 88 - 14 - 18
50 - 66 - 47 - 42 - 11
69 - 7 - 74 - 96 - 26
28 - 11 - 66 - 11 - 34
80 - 75 - 37 - 88 - 35
65 - 37 - 67 - 40 - 92
20 - 48 - 21 - 56 - 16
20 - 62 - 2 - 79 - 68
91 - 10 - 71 - 54 - 0
61 - 27 - 30 - 12 - 30
20 - 49 - 40 - 26 - 54
7 - 65 - 45 - 49 - 78
19 - 52 - 33 - 35 - 77
57 - 66 - 5 - 59 - 77
68 - 17 - 96 - 90 - 55
5 - 2 - 45 - 34 - 20
16 - 22 - 5 - 32 - 94
7 - 31 - 44 - 31 - 11
42 - 94 - 74 - 13 - 60
22 - 78 - 16 - 42 - 81
59 - 77 - 19 - 49 - 78
17 - 25 - 9 - 68 - 37
73 - 13 - 82 - 54 - 2
18 - 14 - 35 - 54 - 50
68 - 89 - 68 - 87 - 33
93 - 2 - 46 - 25 - 95
19 - 34 - 13 - 4 - 41
90 - 80 - 27 - 67 - 82
45 - 25 - 10 - 51 - 11
36 - 21 - 57 - 85 - 24
82 - 8 - 56 - 43 - 24
98 - 73 - 34 - 34 - 47
77 - 87 - 96 - 34 - 88
77 - 31 - 24 - 39 - 80
72 - 72 - 7 - 12 - 8
55 - 68 - 6 - 4 - 60
16 - 45 - 93 - 51 - 59
23 - 52 - 67 - 68 - 26
54 - 20 - 34 - 17 - 42
12 - 0 - 28 - 83 - 54
71 - 56 - 84 - 98 - 55
33 - 70 - 8 - 40 - 46
95 - 26 - 40 - 99 - 94
76 - 98 - 16 - 13 - 11
46 - 50 - 58 - 20 - 40
96 - 48 - 16 - 65 - 96
95 - 32 - 22 - 11 - 42
12 - 47 - 17 - 72 - 75
23 - 50 - 64 - 95 - 41
73 - 81 - 28 - 61 - 93
10 - 73 - 97 - 82 - 8
25 - 5 - 67 - 10 - 40
33 - 24 - 35 - 53 - 11
10 - 64 - 53 - 44 - 85
45 - 21 - 0 - 18 - 54
37 - 47 - 38 - 86 - 53
49 - 75 - 7 - 51 - 24
45 - 60 - 40 - 45 - 40
86 - 38 - 5 - 54 - 20
33 - 35 - 46 - 58 - 21
98 - 95 - 97 - 48 - 89
50 - 89 - 50 - 4 - 69
56 - 13 - 19 - 56 - 32
34 - 70 - 20 - 3 - 23
69 - 66 - 58 - 40 - 43
83 - 98 - 66 - 61 - 95
70 - 94 - 13 - 91 - 65
36 - 71 - 83 - 26 - 81
46 - 91 - 62 - 95 - 50
96 - 33 - 64 - 98 - 46
92 - 32 - 14 - 27 - 93
60 - 33 - 15 - 32 - 93
0 - 89 - 26 - 79 - 66
10 - 16 - 4 - 66 - 23
59 - 76 - 24 - 92 - 60
84 - 81 - 17 - 50 - 90
86 - 97 - 94 - 99 - 35
52 - 7 - 22 - 74 - 99
84 - 22 - 33 - 64 - 45
29 - 71 - 2 - 10 - 7
98 - 55 - 20 - 80 - 97
49 - 60 - 46 - 60 - 70
64 - 42 - 42 - 76 - 14
75 - 88 - 26 - 8 - 31
36 - 1 - 80 - 36 - 13
36 - 40 - 76 - 76 - 7
55 - 30 - 68 - 1 - 33
19 - 66 - 60 - 38 - 89
30 - 51 - 4 - 41 - 96
19 - 52 - 67 - 18 - 5
77 - 32 - 53 - 69 - 13
46 - 62 - 97 - 6 - 43
82 - 74 - 14 - 89 - 86
54 - 92 - 8 - 6 - 74
58 - 53 - 52 - 45 - 91
79 - 76 - 10 - 18 - 62
16 - 94 - 15 - 62 - 18
60 - 53 - 36 - 18 - 44
73 - 29 - 36 - 53 - 46
20 - 47 - 99 - 74 - 22
55 - 46 - 59 - 63 - 68
50 - 14 - 54 - 60 - 57
80 - 87 - 97 - 6 - 90
71 - 18 - 85 - 11 - 10
30 - 42 - 17 - 68 - 74
17 - 10 - 33 - 83 - 63
49 - 94 - 76 - 60 - 77
89 - 49 - 46 - 57 - 74
66 - 90 - 31 - 31 - 91
27 - 42 - 42 - 32 - 22
42 - 34 - 55 - 86 - 85
87 - 15 - 44 - 24 - 68
80 - 14 - 10 - 33 - 0
87 - 15 - 55 - 44 - 74
69 - 55 - 31 - 31 - 32
87 - 31 - 40 - 99 - 62
4 - 0 - 36 - 85 - 19
50 - 33 - 98 - 67 - 17
1 - 25 - 99 - 46 - 25
53 - 97 - 74 - 82 - 46
50 - 60 - 16 - 14 - 84
18 - 81 - 34 - 62 - 88
76 - 18 - 13 - 12 - 4
23 - 99 - 99 - 31 - 28
45 - 71 - 73 - 77 - 41
94 - 10 - 95 - 82 - 13
81 - 5 - 2 - 77 - 84
86 - 0 - 3 - 58 - 65
23 - 20 - 75 - 64 - 4
47 - 63 - 50 - 39 - 32
67 - 27 - 57 - 79 - 82
45 - 5 - 43 - 55 - 27
46 - 94 - 53 - 7 - 15
20 - 50 - 21 - 3 - 61
56 - 48 - 94 - 60 - 96
14 - 17 - 74 - 80 - 18
98 - 87 - 46 - 12 - 19
30 - 98 - 5 - 92 - 19
95 - 29 - 82 - 26 - 83
43 - 34 - 65 - 59 - 61
29 - 81 - 99 - 76 - 47
92 - 35 - 97 - 98 - 82
22 - 4 - 4 - 58 - 47
79 - 69 - 19 - 87 - 41
86 - 52 - 21 - 8 - 98
81 - 66 - 17 - 91 - 99
95 - 79 - 18 - 8 - 8
64 - 52 - 51 - 22 - 53
64 - 36 - 49 - 79 - 1
7 - 92 - 50 - 2 - 83
53 - 30 - 11 - 70 - 77
51 - 56 - 47 - 94 - 96
55 - 31 - 67 - 12 - 87
18 - 5 - 6 - 62 - 1
8 - 70 - 23 - 47 - 29
10 - 98 - 91 - 59 - 21
13 - 76 - 54 - 80 - 74
54 - 47 - 2 - 13 - 20
52 - 65 - 60 - 13 - 17
62 - 9 - 64 - 8 - 67
6 - 15 - 72 - 82 - 65
67 - 73 - 14 - 54 - 14
57 - 43 - 6 - 94 - 68
54 - 58 - 28 - 78 - 66
86 - 44 - 89 - 75 - 80
97 - 54 - 77 - 55 - 93
18 - 50 - 32 - 65 - 91
10 - 17 - 24 - 53 - 3
90 - 71 - 68 - 16 - 63
90 - 25 - 25 - 81 - 1
77 - 51 - 68 - 36 - 33
37 - 48 - 83 - 24 - 26
21 - 50 - 67 - 90 - 16
28 - 63 - 63 - 18 - 0
59 - 16 - 73 - 16 - 79
81 - 37 - 69 - 99 - 53
63 - 80 - 76 - 85 - 81
71 - 15 - 21 - 18 - 69
43 - 67 - 16 - 59 - 77
23 - 59 - 48 - 56 - 55
66 - 16 - 82 - 68 - 94
24 - 86 - 47 - 73 - 49
70 - 35 - 89 - 50 - 89
30 - 11 - 10 - 29 - 54
22 - 95 - 33 - 59 - 5
34 - 68 - 3 - 5 - 7
88 - 55 - 42 - 60 - 75
73 - 66 - 35 - 21 - 66
15 - 80 - 76 - 28 - 10
5 - 62 - 45 - 38 - 50
13 - 9 - 51 - 62 - 56
29 - 23 - 18 - 90 - 42
60 - 79 - 0 - 66 - 31
66 - 80 - 96 - 67 - 91
42 - 10 - 92 - 54 - 18
36 - 12 - 81 - 86 - 42
55 - 94 - 71 - 75 - 82
20 - 98 - 62 - 85 - 8
76 - 69 - 62 - 82 - 15
6 - 60 - 5 - 49 - 83
30 - 7 - 30 - 66 - 2
27 - 88 - 88 - 99 - 68
77 - 55 - 28 - 67 - 24
70 - 84 - 26 - 49 - 47
75 - 1 - 67 - 19 - 4
35 - 65 - 62 - 53 - 47
6 - 71 - 62 - 58 - 17
64 - 87 - 70 - 91 - 60
70 - 93 - 51 - 20 - 26
19 - 90 - 78 - 42 - 1
19 - 54 - 85 - 65 - 99
55 - 86 - 36 - 10 - 18
31 - 71 - 81 - 68 - 13
15 - 22 - 34 - 52 - 42
35 - 17 - 18 - 60 - 63
11 - 83 - 97 - 70 - 11
6 - 33 - 34 - 1 - 51
5 - 90 - 29 - 84 - 38
77 - 95 - 33 - 24 - 6
76 - 50 - 74 - 75 - 65
